0:02:14,u00001,A00001/B00001/C00001/D00001/
2014-11-14 00:02:41,u00002,A00002/B00002/C00002/D00002/
2014-11-14 00:03:09,u00002,A00002/B00002/C00003/D00003/
2014-11-14 00:03:28,u00003,A00002/B00002/C00004/D00004/
2014-11-14 00:03:54,u00002,A00002/B00002/C00002/D00002/
2014-11-14 00:04:27,u00002,A00002/B00002/C00003/D00003/
2014-11-14 00:05:00,u00002,A00002/B00002/C00002/D00002/
2014-11-14 00:05:15,u00004,A00002/B00003/C00005/D00005/
2014-11-14 00:05:19,u00005,A00002/B00003/C00006/D00006/
2014-11-14 00:05:21,u00002,A00002/B00002/C00003/D00003/
2014-11-14 00:06:36,u00002,A00002/B00002/C00007/D00007/
2014-11-14 00:06:59,u00006,A00003/B00004/C00008/D00008/
2014-11-14 00:07:38,u00002,A00002/B00002/C00002/D00009/
2014-11-14 00:08:55,u00002,A00002/B00002/C00003/D00010/
2014-11-14 00:09:45,u00002,A00002/B00002/C00007/D00011/
2014-11-14 00:10:18,u00002,A00002/B00002/C00002/D00012/
2014-11-14 00:11:17,u00004,A00002/B00003/C00005/D00013/
2014-11-14 00:11:19,u00002,A00002/B00002/C00007/D00014/
2014-11-14 00:11:22,u00007,A00002/B00002/C00002/D00015/
2014-11-14 00:11:47,u00004,A00002/B00003/C00005/D00016/
2014-11-14 00:11:58,u00002,A00002/B00002/C00003/D00017/
2014-11-14 00:11:59,u00007,A00002/B00002/C00009/D00018/
2014-11-14 00:12:13,u00007,A00002/B00001/C00010/D00019/
2014-11-14 00:12:58,u00007,A00002/B00001/C00010/D00020/
2014-11-14 00:13:06,u00002,A00002/B00002/C00011/D00021/
2014-11-14 00:13:49,u00005,A00002/B00003/C00006/D00022/
2014-11-14 00:13:52,u00002,A00002/B00002/C00004/D00023/
2014-11-14 00:14:04,u00008,A00002/B00002/C00007/D00024/
2014-11-14 00:15:03,u00002,A00002/B00002/C00012/D00025/
2014-11-14 00:15:08,u00008,A00002/B00002/C00007/D00026/
2014-11-14 00:16:31,u00002,A00002/B00002/C00004/D00023/
2014-11-14 00:17:15,u00006,A00003/B00004/C00008/D00027/
2014-11-14 00:18:46,u00004,A00002/B00005/C00013/D00028/
2014-11-14 00:19:38,u00008,A00002/B00003/C00014/D00029/
2014-11-14 00:20:07,u00008,A00002/B00002/C00007/D00026/
2014-11-14 00:21:55,u00002,A00002/B00006/C00015/D00030/
2014-11-14 00:22:53,u00004,A00002/B00005/C00013/D00031/
2014-11-14 00:24:09,u00004,A00002/B00005/C00013/D00032/
2014-11-14 00:26:08,u00002,A00002/B00002/C00003/D00033/
2014-11-14 00:26:28,u00004,A00002/B00007/C00016/D00034/
2014-11-14 00:27:13,u00002,A00002/B00002/C00007/D00035/
2014-11-14 00:27:18,u00004,A00002/B00007/C00016/D00036/
